,,,,,,,Daily Price Arrival Report-07-11-2025 to 26-02-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,800.00,"2,400.00","1,600.00",Rs./Quintal,38.00,Metric Tonnes,05-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,800.00,"2,400.00","1,600.00",Rs./Quintal,60.70,Metric Tonnes,04-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,900.00,"2,300.00","1,150.00",Rs./Quintal,26.80,Metric Tonnes,01-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,300.00,"1,600.00",950.00,Rs./Quintal,61.00,Metric Tonnes,01-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,800.00,"2,100.00","1,450.00",Rs./Quintal,7.90,Metric Tonnes,01-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,000.00",900.00,Rs./Quintal,10.40,Metric Tonnes,31-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"1,000.00",750.00,Rs./Quintal,10.70,Metric Tonnes,30-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,600.00","1,700.00","1,650.00",Rs./Quintal,33.00,Metric Tonnes,29-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"1,100.00",800.00,Rs./Quintal,6.80,Metric Tonnes,28-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,200.00","2,200.00","1,700.00",Rs./Quintal,42.00,Metric Tonnes,27-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,200.00","1,000.00",Rs./Quintal,40.20,Metric Tonnes,27-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,700.00","1,250.00",Rs./Quintal,14.30,Metric Tonnes,26-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,200.00","1,000.00",Rs./Quintal,32.90,Metric Tonnes,26-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,800.00","1,300.00",Rs./Quintal,33.90,Metric Tonnes,25-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,37.50,Metric Tonnes,25-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,100.00",950.00,Rs./Quintal,10.40,Metric Tonnes,24-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,700.00","1,250.00",Rs./Quintal,59.40,Metric Tonnes,23-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"1,200.00",900.00,Rs./Quintal,10.90,Metric Tonnes,23-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,600.00","1,700.00","1,650.00",Rs./Quintal,30.00,Metric Tonnes,22-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,41.10,Metric Tonnes,22-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"1,300.00",900.00,Rs./Quintal,18.00,Metric Tonnes,22-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,600.00","1,700.00","1,650.00",Rs./Quintal,27.40,Metric Tonnes,21-11-2025
